time,location,app_responses,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
2020-04-06 01:20:00,15,1,4.0,9.0,10.0,,6.0,1.0
2020-04-06 01:25:00,1,1,5.0,0.0,6.0,3.0,6.0,1.0
2020-04-06 01:25:00,9,1,6.0,2.0,7.0,3.0,8.0,
2020-04-06 01:25:00,12,1,10.0,5.0,2.0,,4.0,
2020-04-06 01:25:00,14,2,4.5,7.5,6.0,,2.5,
2020-04-06 01:25:00,18,1,4.0,10.0,10.0,,10.0,
2020-04-06 01:30:00,3,1,5.0,10.0,7.0,6.0,5.0,
2020-04-06 01:30:00,6,1,2.0,1.0,2.0,8.0,7.0,0.0
2020-04-06 01:30:00,11,1,10.0,4.0,2.0,6.0,7.0,
2020-04-06 01:30:00,19,1,8.0,7.0,1.0,,2.0,
2020-04-06 01:35:00,1,1,9.0,10.0,2.0,4.0,0.0,
2020-04-06 01:35:00,5,1,2.0,3.0,5.0,4.0,10.0,
2020-04-06 01:35:00,6,1,6.0,3.0,10.0,7.0,2.0,
2020-04-06 01:35:00,11,1,2.0,9.0,10.0,10.0,4.0,
2020-04-06 01:35:00,12,1,1.0,10.0,7.0,,3.0,
2020-04-06 01:35:00,18,1,2.0,10.0,7.0,,8.0,
2020-04-06 01:40:00,2,1,5.0,3.0,6.0,,4.0,
2020-04-06 01:40:00,3,2,1.0,4.5,5.0,6.5,5.5,
2020-04-06 01:40:00,10,1,1.0,7.0,7.0,,7.0,
2020-04-06 01:40:00,15,2,5.5,9.0,5.0,,6.0,1.0
2020-04-06 01:45:00,2,2,4.5,2.0,4.0,,5.5,1.0
2020-04-06 01:45:00,3,2,6.5,0.0,7.5,3.5,5.5,
2020-04-06 01:45:00,8,1,8.0,8.0,10.0,,10.0,
2020-04-06 01:50:00,2,1,6.0,3.0,9.0,,0.0,1.0
2020-04-06 01:50:00,3,2,9.0,2.5,6.0,3.5,9.0,
2020-04-06 01:50:00,5,1,9.0,7.0,0.0,5.0,5.0,
2020-04-06 01:50:00,8,3,5.666666666666667,4.0,7.333333333333333,,7.333333333333333,1.0
2020-04-06 01:50:00,9,1,4.0,1.0,6.0,7.0,10.0,
2020-04-06 01:50:00,19,1,8.0,7.0,3.0,,8.0,
2020-04-06 01:55:00,2,1,4.0,1.0,7.0,,4.0,
2020-04-06 01:55:00,8,2,6.0,4.5,0.5,,10.0,
2020-04-06 01:55:00,9,4,5.25,4.5,5.5,5.25,7.5,
2020-04-06 01:55:00,15,2,7.0,5.5,4.0,,3.5,
2020-04-06 01:55:00,18,1,10.0,1.0,6.0,,0.0,
2020-04-06 02:00:00,1,1,6.0,1.0,0.0,10.0,10.0,
2020-04-06 02:00:00,19,1,10.0,2.0,9.0,,1.0,
2020-04-06 02:05:00,2,2,1.5,8.5,5.5,,5.0,
2020-04-06 02:05:00,4,1,10.0,8.0,8.0,,0.0,
2020-04-06 02:05:00,9,1,9.0,10.0,5.0,10.0,1.0,
2020-04-06 02:05:00,11,2,7.5,5.0,9.0,3.0,5.5,
2020-04-06 02:05:00,14,1,1.0,5.0,1.0,,0.0,
2020-04-06 02:05:00,15,2,5.5,6.5,9.0,,9.0,
2020-04-06 02:10:00,2,1,6.0,9.0,5.0,,5.0,
2020-04-06 02:10:00,3,1,10.0,0.0,2.0,0.0,6.0,
2020-04-06 02:10:00,6,1,3.0,4.0,0.0,2.0,10.0,
2020-04-06 02:10:00,8,2,9.0,2.5,8.0,,9.5,
2020-04-06 02:10:00,15,1,0.0,3.0,9.0,,9.0,
2020-04-06 02:15:00,1,2,6.0,9.0,4.5,7.5,5.5,
2020-04-06 02:15:00,6,2,9.0,7.0,6.5,6.5,3.5,
2020-04-06 02:15:00,8,1,7.0,8.0,10.0,,6.0,
2020-04-06 02:15:00,10,1,8.0,10.0,4.0,,6.0,
2020-04-06 02:15:00,13,1,9.0,7.0,10.0,,0.0,
2020-04-06 02:15:00,15,1,4.0,0.0,0.0,,10.0,
2020-04-06 02:15:00,18,1,10.0,10.0,5.0,,0.0,
2020-04-06 02:20:00,1,1,3.0,0.0,10.0,10.0,6.0,
2020-04-06 02:20:00,2,1,2.0,4.0,4.0,,2.0,0.0
2020-04-06 02:20:00,3,2,3.5,3.5,3.5,6.5,1.5,0.0
2020-04-06 02:20:00,6,2,7.5,7.5,7.5,3.0,10.0,
2020-04-06 02:20:00,9,1,10.0,10.0,0.0,2.0,10.0,
2020-04-06 02:20:00,12,1,6.0,10.0,10.0,,1.0,0.0
2020-04-06 02:25:00,1,2,4.0,9.0,3.5,7.5,7.0,
2020-04-06 02:25:00,3,1,4.0,10.0,10.0,5.0,3.0,
2020-04-06 02:25:00,4,1,10.0,10.0,8.0,,10.0,
2020-04-06 02:25:00,10,1,5.0,0.0,10.0,,7.0,
2020-04-06 02:25:00,11,1,10.0,7.0,7.0,9.0,9.0,1.0
2020-04-06 02:25:00,14,1,8.0,10.0,10.0,,2.0,
2020-04-06 02:25:00,19,1,9.0,6.0,9.0,,0.0,
2020-04-06 02:30:00,1,1,5.0,0.0,4.0,4.0,10.0,
2020-04-06 02:30:00,3,1,7.0,0.0,4.0,8.0,3.0,
2020-04-06 02:30:00,8,1,3.0,1.0,5.0,,8.0,
2020-04-06 02:30:00,9,1,10.0,1.0,4.0,3.0,8.0,
2020-04-06 02:30:00,12,1,7.0,10.0,7.0,,10.0,1.0
2020-04-06 02:30:00,19,1,5.0,6.0,2.0,,10.0,
2020-04-06 02:35:00,4,1,5.0,8.0,2.0,,10.0,
2020-04-06 02:35:00,6,2,1.0,4.0,2.5,3.5,8.5,
2020-04-06 02:35:00,8,4,3.5,7.5,3.0,,3.75,1.0
2020-04-06 02:35:00,9,2,5.0,8.0,7.0,7.5,4.5,
2020-04-06 02:35:00,15,1,0.0,1.0,2.0,,3.0,
2020-04-06 02:35:00,19,1,8.0,10.0,6.0,,1.0,
2020-04-06 02:40:00,2,1,0.0,3.0,10.0,,1.0,
2020-04-06 02:40:00,3,1,10.0,3.0,4.0,10.0,8.0,0.0
2020-04-06 02:40:00,6,1,8.0,5.0,2.0,10.0,7.0,1.0
2020-04-06 02:40:00,8,1,5.0,3.0,6.0,,10.0,
2020-04-06 02:40:00,9,1,10.0,10.0,5.0,1.0,8.0,
2020-04-06 02:40:00,14,1,5.0,5.0,10.0,,4.0,
2020-04-06 02:40:00,16,1,10.0,10.0,10.0,0.0,9.0,
2020-04-06 02:45:00,2,2,9.5,5.0,9.0,2.0,5.5,
2020-04-06 02:45:00,6,1,7.0,10.0,0.0,0.0,10.0,0.0
2020-04-06 02:45:00,11,1,6.0,5.0,6.0,10.0,10.0,
2020-04-06 02:45:00,15,1,0.0,0.0,8.0,,7.0,
2020-04-06 02:45:00,19,1,7.0,4.0,2.0,,8.0,
2020-04-06 02:50:00,5,1,7.0,7.0,5.0,10.0,8.0,
2020-04-06 02:50:00,6,2,6.0,6.0,5.0,5.5,7.0,
2020-04-06 02:50:00,8,1,6.0,10.0,10.0,,5.0,1.0
2020-04-06 02:50:00,9,2,4.0,7.0,9.5,6.5,7.0,
2020-04-06 02:50:00,10,1,0.0,1.0,0.0,,7.0,
2020-04-06 02:50:00,11,1,0.0,1.0,8.0,0.0,3.0,
2020-04-06 02:50:00,15,3,6.333333333333333,5.666666666666667,6.333333333333333,,8.333333333333334,
2020-04-06 02:55:00,2,1,10.0,10.0,10.0,,5.0,
2020-04-06 02:55:00,6,1,6.0,3.0,9.0,1.0,10.0,
2020-04-06 02:55:00,9,2,7.0,7.0,3.5,1.5,6.0,
2020-04-06 02:55:00,11,1,10.0,3.0,1.0,5.0,4.0,0.0
2020-04-06 02:55:00,12,1,3.0,8.0,7.0,,0.0,0.0
2020-04-06 02:55:00,15,1,1.0,1.0,8.0,,4.0,
2020-04-06 02:55:00,16,1,10.0,0.0,3.0,10.0,10.0,
2020-04-06 03:00:00,1,1,10.0,2.0,0.0,10.0,10.0,
2020-04-06 03:00:00,2,3,2.6666666666666665,3.3333333333333335,7.333333333333333,,3.6666666666666665,1.0
2020-04-06 03:00:00,3,1,4.0,10.0,3.0,2.0,2.0,
2020-04-06 03:00:00,5,1,4.0,2.0,2.0,7.0,1.0,
2020-04-06 03:00:00,6,1,9.0,3.0,2.0,4.0,2.0,
2020-04-06 03:00:00,8,1,0.0,7.0,5.0,,0.0,
2020-04-06 03:00:00,11,1,3.0,1.0,8.0,3.0,3.0,
2020-04-06 03:00:00,12,1,3.0,9.0,5.0,,1.0,
2020-04-06 03:00:00,14,1,8.0,8.0,1.0,,5.0,
2020-04-06 03:00:00,15,1,7.0,6.0,7.0,,4.0,1.0
2020-04-06 03:00:00,19,1,2.0,10.0,10.0,,7.0,
2020-04-06 03:05:00,1,1,4.0,9.0,8.0,8.0,7.0,
2020-04-06 03:05:00,2,1,10.0,2.0,1.0,,4.0,
2020-04-06 03:05:00,3,2,5.0,8.0,2.5,9.0,4.0,1.0
2020-04-06 03:05:00,6,2,6.5,9.5,8.0,7.0,9.5,
2020-04-06 03:05:00,8,1,0.0,9.0,4.0,,3.0,
2020-04-06 03:05:00,9,1,0.0,9.0,8.0,6.0,10.0,
2020-04-06 03:10:00,2,1,10.0,4.0,5.0,,10.0,
2020-04-06 03:10:00,6,2,7.5,2.0,4.0,7.5,3.5,
2020-04-06 03:10:00,14,1,10.0,3.0,6.0,,2.0,
2020-04-06 03:10:00,15,1,4.0,4.0,0.0,,6.0,
2020-04-06 03:10:00,18,1,0.0,6.0,10.0,,1.0,
2020-04-06 03:15:00,2,1,6.0,7.0,7.0,,9.0,0.0
2020-04-06 03:15:00,6,1,5.0,9.0,10.0,2.0,10.0,
2020-04-06 03:15:00,8,2,7.5,2.5,7.5,,6.0,
2020-04-06 03:15:00,9,1,10.0,10.0,10.0,2.0,6.0,
2020-04-06 03:15:00,15,1,3.0,6.0,0.0,,7.0,
2020-04-06 03:15:00,18,1,7.0,5.0,7.0,,10.0,
2020-04-06 03:20:00,2,1,4.0,9.0,8.0,,7.0,
2020-04-06 03:20:00,6,1,7.0,0.0,0.0,10.0,9.0,0.0
2020-04-06 03:20:00,8,1,7.0,10.0,2.0,,5.0,
2020-04-06 03:20:00,10,1,0.0,8.0,10.0,,10.0,
2020-04-06 03:20:00,15,1,1.0,5.0,5.0,,4.0,
2020-04-06 03:25:00,2,1,4.0,0.0,1.0,,3.0,
2020-04-06 03:25:00,5,1,10.0,1.0,2.0,10.0,4.0,
2020-04-06 03:25:00,6,2,8.5,5.5,6.5,5.0,5.5,1.0
2020-04-06 03:30:00,2,1,3.0,1.0,7.0,,9.0,
2020-04-06 03:30:00,6,1,4.0,8.0,6.0,2.0,2.0,
2020-04-06 03:35:00,2,1,10.0,0.0,3.0,,9.0,
2020-04-06 03:35:00,3,2,5.5,1.0,5.0,5.0,10.0,
2020-04-06 03:35:00,9,2,6.5,4.5,3.5,9.0,9.0,
2020-04-06 03:35:00,12,1,4.0,5.0,10.0,,7.0,
2020-04-06 03:35:00,15,1,7.0,6.0,1.0,,8.0,1.0
2020-04-06 03:35:00,16,1,10.0,8.0,1.0,10.0,9.0,
2020-04-06 03:40:00,2,1,4.0,3.0,6.0,,8.0,1.0
2020-04-06 03:40:00,5,1,8.0,8.0,2.0,8.0,10.0,
2020-04-06 03:40:00,6,1,10.0,8.0,1.0,5.0,10.0,
2020-04-06 03:40:00,8,2,5.0,2.0,8.5,,4.5,1.0
2020-04-06 03:40:00,9,1,1.0,10.0,5.0,9.0,7.0,
2020-04-06 03:40:00,16,1,4.0,2.0,2.0,3.0,2.0,1.0
2020-04-06 03:40:00,19,1,0.0,4.0,1.0,,1.0,
2020-04-06 03:45:00,3,1,2.0,7.0,0.0,2.0,1.0,
2020-04-06 03:45:00,4,1,3.0,1.0,1.0,,2.0,
2020-04-06 03:45:00,5,2,4.0,4.5,2.5,1.5,5.0,1.0
2020-04-06 03:45:00,8,1,1.0,3.0,0.0,,2.0,
2020-04-06 03:45:00,9,1,10.0,0.0,0.0,4.0,7.0,
2020-04-06 03:45:00,15,2,3.5,0.0,4.5,,7.0,
2020-04-06 03:50:00,1,1,2.0,0.0,10.0,3.0,4.0,
2020-04-06 03:50:00,2,1,9.0,0.0,8.0,,9.0,
2020-04-06 03:50:00,6,2,6.0,4.0,4.0,5.0,8.0,
2020-04-06 03:50:00,8,1,1.0,10.0,4.0,,5.0,
2020-04-06 03:50:00,14,1,10.0,0.0,10.0,,1.0,
2020-04-06 03:50:00,18,1,8.0,6.0,9.0,,8.0,
2020-04-06 03:55:00,6,1,10.0,0.0,7.0,3.0,0.0,
2020-04-06 03:55:00,8,2,5.5,2.0,6.0,,8.5,
2020-04-06 03:55:00,15,1,7.0,4.0,8.0,,1.0,
2020-04-06 04:00:00,2,1,9.0,10.0,0.0,,10.0,
2020-04-06 04:00:00,6,4,4.75,4.25,6.25,6.75,7.25,1.0
2020-04-06 04:00:00,8,2,3.0,5.0,4.5,,4.5,
2020-04-06 04:00:00,11,1,5.0,8.0,7.0,5.0,7.0,0.0
2020-04-06 04:00:00,19,1,5.0,10.0,8.0,,6.0,
2020-04-06 04:05:00,2,1,4.0,2.0,10.0,,8.0,0.0
2020-04-06 04:05:00,3,1,10.0,9.0,0.0,6.0,10.0,
2020-04-06 04:05:00,6,1,10.0,5.0,5.0,8.0,9.0,
2020-04-06 04:05:00,8,2,4.0,6.5,6.0,,4.5,
2020-04-06 04:05:00,9,1,4.0,5.0,3.0,6.0,3.0,
2020-04-06 04:05:00,14,1,8.0,4.0,9.0,,10.0,
2020-04-06 04:05:00,15,1,3.0,5.0,10.0,,2.0,
2020-04-06 04:05:00,18,1,3.0,10.0,7.0,,9.0,
2020-04-06 04:10:00,8,4,3.75,6.0,4.5,,2.75,
2020-04-06 04:10:00,9,1,10.0,10.0,0.0,0.0,8.0,
2020-04-06 04:10:00,15,1,10.0,6.0,2.0,,2.0,
2020-04-06 04:10:00,16,1,4.0,5.0,7.0,3.0,8.0,
2020-04-06 04:10:00,17,1,2.0,6.0,10.0,,3.0,
2020-04-06 04:15:00,1,1,3.0,8.0,3.0,3.0,6.0,
2020-04-06 04:15:00,2,2,4.0,3.5,9.0,,9.0,
2020-04-06 04:15:00,4,1,4.0,1.0,9.0,,9.0,
2020-04-06 04:15:00,5,3,6.666666666666667,4.333333333333333,7.0,4.333333333333333,6.0,
2020-04-06 04:15:00,6,1,10.0,9.0,10.0,8.0,6.0,
2020-04-06 04:15:00,8,2,8.5,4.5,6.5,,3.0,
2020-04-06 04:15:00,9,1,10.0,7.0,3.0,10.0,4.0,
2020-04-06 04:15:00,14,1,7.0,1.0,10.0,,1.0,0.0
2020-04-06 04:20:00,6,2,4.5,3.5,9.0,7.0,9.0,
2020-04-06 04:20:00,9,1,10.0,9.0,8.0,10.0,1.0,0.0
2020-04-06 04:20:00,15,1,0.0,5.0,3.0,,2.0,
2020-04-06 04:20:00,19,1,0.0,0.0,5.0,,7.0,
2020-04-06 04:25:00,2,1,10.0,5.0,6.0,,1.0,
2020-04-06 04:25:00,4,1,5.0,4.0,10.0,,3.0,
2020-04-06 04:25:00,6,2,5.5,8.0,7.0,6.5,4.0,
2020-04-06 04:25:00,8,1,7.0,10.0,10.0,,2.0,
2020-04-06 04:25:00,14,1,3.0,8.0,5.0,,10.0,
2020-04-06 04:25:00,15,1,9.0,10.0,6.0,,6.0,
2020-04-06 04:30:00,6,1,1.0,5.0,10.0,5.0,2.0,
2020-04-06 04:30:00,8,2,6.5,4.5,9.0,,3.5,
2020-04-06 04:30:00,9,2,8.0,6.0,7.0,2.5,5.5,0.0
2020-04-06 04:30:00,10,1,9.0,4.0,3.0,,10.0,1.0
2020-04-06 04:30:00,14,1,7.0,10.0,4.0,,5.0,
2020-04-06 04:30:00,15,1,10.0,10.0,9.0,,8.0,1.0
2020-04-06 04:35:00,2,1,10.0,3.0,3.0,,10.0,1.0
2020-04-06 04:35:00,8,1,8.0,0.0,8.0,,9.0,
2020-04-06 04:35:00,14,1,10.0,1.0,10.0,,2.0,
2020-04-06 04:35:00,15,2,7.0,8.0,5.0,,8.0,0.0
2020-04-06 04:40:00,1,1,10.0,3.0,7.0,8.0,2.0,
2020-04-06 04:40:00,2,1,5.0,7.0,10.0,,1.0,
2020-04-06 04:40:00,15,1,1.0,0.0,0.0,,6.0,
2020-04-06 04:40:00,19,1,2.0,4.0,4.0,,5.0,
2020-04-06 04:45:00,5,1,3.0,10.0,10.0,3.0,6.0,
2020-04-06 04:45:00,6,1,7.0,6.0,4.0,10.0,0.0,
2020-04-06 04:45:00,8,1,10.0,9.0,5.0,,5.0,1.0
2020-04-06 04:45:00,15,1,10.0,1.0,10.0,,3.0,
2020-04-06 04:50:00,5,1,8.0,10.0,10.0,4.0,2.0,
2020-04-06 04:50:00,14,1,3.0,7.0,7.0,,10.0,
2020-04-06 04:50:00,15,1,3.0,7.0,3.0,,4.0,
2020-04-06 04:50:00,18,1,1.0,3.0,0.0,,8.0,
2020-04-06 04:55:00,8,1,8.0,8.0,0.0,,8.0,
2020-04-06 04:55:00,9,2,7.5,5.0,3.5,8.5,5.5,
2020-04-06 04:55:00,14,1,6.0,7.0,6.0,,7.0,
2020-04-06 05:00:00,2,2,0.0,5.5,5.0,,5.5,
2020-04-06 05:00:00,15,1,3.0,2.0,1.0,,3.0,
2020-04-06 05:00:00,19,1,1.0,4.0,4.0,,5.0,
2020-04-06 05:05:00,2,2,8.0,7.5,4.0,,4.0,1.0
2020-04-06 05:05:00,5,1,0.0,8.0,0.0,7.0,10.0,0.0
2020-04-06 05:05:00,6,1,2.0,10.0,8.0,6.0,10.0,1.0
2020-04-06 05:05:00,15,1,8.0,5.0,2.0,,5.0,
2020-04-06 05:10:00,2,1,10.0,4.0,4.0,,9.0,
2020-04-06 05:10:00,6,4,7.0,4.0,7.0,3.0,6.0,
2020-04-06 05:10:00,12,1,7.0,9.0,10.0,,3.0,
2020-04-06 05:10:00,15,1,5.0,9.0,8.0,,10.0,
2020-04-06 05:10:00,16,1,9.0,6.0,4.0,4.0,5.0,
2020-04-06 05:15:00,2,1,0.0,3.0,10.0,,8.0,
2020-04-06 05:15:00,4,1,6.0,5.0,5.0,,4.0,
2020-04-06 05:15:00,5,1,3.0,10.0,10.0,10.0,8.0,1.0
2020-04-06 05:15:00,8,1,4.0,0.0,0.0,,0.0,1.0
2020-04-06 05:15:00,10,1,2.0,8.0,1.0,,10.0,
2020-04-06 05:15:00,15,1,10.0,5.0,7.0,,10.0,
2020-04-06 05:15:00,16,1,8.0,10.0,6.0,4.0,8.0,1.0
2020-04-06 05:15:00,18,1,10.0,8.0,2.0,,0.0,
2020-04-06 05:20:00,1,1,10.0,10.0,0.0,7.0,5.0,0.0
2020-04-06 05:20:00,2,1,10.0,3.0,3.0,,2.0,
2020-04-06 05:20:00,3,2,3.5,8.5,6.5,4.0,7.5,
2020-04-06 05:20:00,6,2,6.0,2.5,8.0,2.5,7.5,
2020-04-06 05:20:00,8,3,5.333333333333333,4.0,2.6666666666666665,,2.3333333333333335,
2020-04-06 05:20:00,12,1,10.0,6.0,4.0,,7.0,
2020-04-06 05:20:00,14,1,1.0,4.0,0.0,,6.0,
2020-04-06 05:20:00,15,1,10.0,8.0,10.0,,3.0,
2020-04-06 05:20:00,18,1,5.0,8.0,9.0,,10.0,
2020-04-06 05:25:00,4,1,5.0,9.0,7.0,,1.0,
2020-04-06 05:25:00,9,2,7.0,8.0,0.5,3.0,4.0,
2020-04-06 05:25:00,11,1,10.0,0.0,10.0,2.0,5.0,
2020-04-06 05:25:00,15,1,8.0,8.0,0.0,,10.0,
2020-04-06 05:25:00,18,1,10.0,6.0,0.0,,7.0,
2020-04-06 05:30:00,2,1,3.0,9.0,5.0,,9.0,
2020-04-06 05:30:00,3,1,0.0,3.0,10.0,9.0,3.0,
2020-04-06 05:30:00,5,1,0.0,10.0,10.0,5.0,2.0,0.0
2020-04-06 05:30:00,6,1,2.0,5.0,9.0,8.0,3.0,
2020-04-06 05:30:00,15,1,10.0,4.0,1.0,,4.0,
2020-04-06 05:30:00,18,1,5.0,10.0,8.0,,9.0,
2020-04-06 05:35:00,3,1,2.0,6.0,2.0,4.0,3.0,1.0
2020-04-06 05:35:00,6,2,7.5,0.5,6.5,5.0,8.5,1.0
2020-04-06 05:35:00,8,1,1.0,6.0,9.0,,6.0,
2020-04-06 05:35:00,9,1,2.0,3.0,3.0,0.0,7.0,
2020-04-06 05:35:00,15,1,10.0,8.0,9.0,,1.0,
